Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26041006330101RL","A","2026-04-18T11:05:11.320Z","IN PROGRESS","-","IN PROGRESS"
"26041703280101RL","A","2026-04-18T10:52:49.347Z","IN PROGRESS","-","IN PROGRESS"
"26041503350101RL","A","2026-04-18T10:24:25.730Z","IN PROGRESS","-","IN PROGRESS"
"26041206390101RL","A","2026-04-18T10:14:49.800Z","IN PROGRESS","-","IN PROGRESS"
"26041703260101RL","A","2026-04-18T09:24:48.823Z","IN PROGRESS","-","IN PROGRESS"
"26041703270101RL","A","2026-04-18T09:11:11.250Z","IN PROGRESS","-","IN PROGRESS"
"26041703330101RL","A","2026-04-18T09:03:11.627Z","IN PROGRESS","-","IN PROGRESS"
"26041703320101RL","A","2026-04-18T08:54:55.350Z","IN PROGRESS","-","IN PROGRESS"
"26041703310101RL","A","2026-04-18T08:47:22.800Z","IN PROGRESS","-","IN PROGRESS"
"26041703300101RL","A","2026-04-18T08:33:06.230Z","IN PROGRESS","-","IN PROGRESS"
"26041503370101RL","A","2026-04-18T07:57:33.223Z","IN PROGRESS","-","IN PROGRESS"
"26041503340101RL","A","2026-04-18T07:49:18.903Z","IN PROGRESS","OK","OK"
"26041503390101RL","A","2026-04-18T07:40:44.627Z","IN PROGRESS","-","IN PROGRESS"
"26041503360101RL","A","2026-04-18T07:08:01.427Z","IN PROGRESS","OK","OK"
"26041503300101RL","A","2026-04-18T06:53:55.427Z","IN PROGRESS","-","IN PROGRESS"
"26041503310101RL","A","2026-04-18T06:46:03.223Z","IN PROGRESS","OK","OK"
"26041803140101RL","A","2026-04-18T06:38:03.300Z","IN PROGRESS","-","IN PROGRESS"
"26041503380101RL","A","2026-04-18T06:30:12.980Z","IN PROGRESS","-","IN PROGRESS"
"26041703290101RL","C","2026-04-18T05:34:43.127Z","IN PROGRESS","OK","OK"
"26041503190101RL","C","2026-04-18T03:38:50.407Z","IN PROGRESS","OK","OK"
"26041503330101RL","C","2026-04-18T03:29:52.050Z","IN PROGRESS","OK","OK"
"26041503290101RL","C","2026-04-18T03:02:59.623Z","IN PROGRESS","OK","OK"
"26041503250101RL","C","2026-04-18T02:51:44.703Z","IN PROGRESS","OK","OK"
"26041503400101RL","C","2026-04-18T02:39:43.350Z","IN PROGRESS","OK","OK"
"26041503210101RL","C","2026-04-18T02:19:36.073Z","IN PROGRESS","OK","OK"
"26041503320101RL","C","2026-04-18T02:11:12.603Z","IN PROGRESS","-","IN PROGRESS"
"26041503240101RL","C","2026-04-18T02:01:46.800Z","IN PROGRESS","-","IN PROGRESS"
"26041503220101RL","C","2026-04-18T01:16:18.680Z","IN PROGRESS","OK","OK"
"26041802800101RL","C","2026-04-18T01:10:16.573Z","IN PROGRESS","-","IN PROGRESS"
"26041802730101RL","C","2026-04-18T01:10:07.950Z","IN PROGRESS","-","IN PROGRESS"
"26041503230101RL","C","2026-04-18T01:08:37.800Z","IN PROGRESS","-","IN PROGRESS"
"26041702230101RL","C","2026-04-18T01:00:36.677Z","IN PROGRESS","-","IN PROGRESS"
"26041503280101RL","C","2026-04-18T00:47:17.927Z","IN PROGRESS","OK","OK"
"26041503270101RL","C","2026-04-18T00:37:38.103Z","IN PROGRESS","-","IN PROGRESS"
"26041503200101RL","C","2026-04-18T00:30:15.450Z","IN PROGRESS","-","IN PROGRESS"
"26041329410101RR","C","2026-04-18T00:04:45.527Z","IN PROGRESS","OK","OK"
"26041329470101RR","C","2026-04-17T23:58:32.473Z","IN PROGRESS","OK","OK"
"26041329430101RR","C","2026-04-17T23:51:15.000Z","IN PROGRESS","-","IN PROGRESS"
"26041329490101RR","C","2026-04-17T23:45:47.850Z","IN PROGRESS","OK","OK"
"26041329380101RR","C","2026-04-17T23:41:00.603Z","IN PROGRESS","OK","OK"
"26041329390101RR","C","2026-04-17T23:33:40.727Z","IN PROGRESS","OK","OK"
"26041429550101RR","C","2026-04-17T23:26:16.277Z","IN PROGRESS","OK","OK"
"26041329580101RR","C","2026-04-17T23:26:02.477Z","IN PROGRESS","OK","OK"
"26041429530101RR","C","2026-04-17T23:18:36.527Z","IN PROGRESS","-","IN PROGRESS"
"26041329630101RR","C","2026-04-17T23:10:05.700Z","IN PROGRESS","OK","OK"
"26041329610101RR","C","2026-04-17T23:00:26.850Z","IN PROGRESS","OK","OK"
"26041329620101RR","C","2026-04-17T22:53:00.223Z","IN PROGRESS","OK","OK"
"26041429560101RR","B","2026-04-17T20:14:16.127Z","IN PROGRESS","-","IN PROGRESS"
"26041329660101RR","B","2026-04-17T20:00:29.780Z","IN PROGRESS","OK","OK"
"26041329650101RR","B","2026-04-17T19:46:49.500Z","IN PROGRESS","OK","OK"
"26041329590101RR","B","2026-04-17T19:29:04.727Z","IN PROGRESS","OK","OK"
"26041329730101RR","B","2026-04-17T19:23:53.850Z","IN PROGRESS","OK","OK"
"26041429540101RR","B","2026-04-17T19:18:42.450Z","IN PROGRESS","OK","OK"
"26041429570101RR","B","2026-04-17T19:13:46.803Z","IN PROGRESS","OK","OK"
"26041329640101RR","B","2026-04-17T19:07:32.477Z","IN PROGRESS","OK","OK"
"26041329720101RR","B","2026-04-17T18:36:59.030Z","IN PROGRESS","OK","OK"
"26041329820101RR","B","2026-04-17T18:24:00.900Z","IN PROGRESS","OK","OK"
"26041329760101RR","B","2026-04-17T18:07:20.323Z","IN PROGRESS","OK","OK"
"26041701890101RL","B","2026-04-17T17:29:59.400Z","IN PROGRESS","-","IN PROGRESS"
"26041329700101RR","B","2026-04-17T17:20:00.453Z","IN PROGRESS","-","IN PROGRESS"
"26041429780101RR","B","2026-04-17T16:29:32.103Z","IN PROGRESS","OK","OK"
"26041429790101RR","B","2026-04-17T15:52:04.353Z","IN PROGRESS","OK","OK"
"26041329740101RR","B","2026-04-17T15:05:26.253Z","IN PROGRESS","OK","OK"
"26041330300101RR","B","2026-04-17T14:48:59.700Z","IN PROGRESS","OK","OK"
"26041330420101RR","B","2026-04-17T14:20:12.527Z","IN PROGRESS","-","IN PROGRESS"
"26041701030101RL","A","2026-04-17T13:41:30.150Z","IN PROGRESS","-","IN PROGRESS"
"26041330350101RR","A","2026-04-17T13:06:07.577Z","IN PROGRESS","OK","OK"
"26041330400101RR","A","2026-04-17T12:50:33.527Z","IN PROGRESS","-","IN PROGRESS"
"26041330360101RR","A","2026-04-17T12:41:25.953Z","IN PROGRESS","OK","OK"
"26041330370101RR","A","2026-04-17T12:11:31.580Z","IN PROGRESS","-","IN PROGRESS"
"26041330310101RR","A","2026-04-17T11:54:23.103Z","IN PROGRESS","-","IN PROGRESS"
"26041330390101RR","A","2026-04-17T11:46:24.680Z","IN PROGRESS","OK","OK"
"26041330340101RR","A","2026-04-17T09:01:00.007Z","IN PROGRESS","-","IN PROGRESS"
"26041330290101RR","A","2026-04-17T08:45:20.630Z","IN PROGRESS","-","IN PROGRESS"
"26041430410101RR","A","2026-04-17T08:25:00.830Z","IN PROGRESS","-","IN PROGRESS"
"26041330440101RR","A","2026-04-17T07:50:32.553Z","IN PROGRESS","OK","OK"
"26041330320101RR","A","2026-04-17T07:43:08.330Z","IN PROGRESS","OK","OK"
"26041330380101RR","A","2026-04-17T07:24:24.080Z","IN PROGRESS","-","IN PROGRESS"
"26041330430101RR","A","2026-04-17T06:58:54.073Z","IN PROGRESS","-","IN PROGRESS"
"26041330330101RR","A","2026-04-17T06:47:53.180Z","IN PROGRESS","-","IN PROGRESS"
